id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,2934
4,어,243
5,해,226
6,가,206
7,줘,187
8,수,174
9,는,167
10,지,161
11,시,139
12,에,137
13,이,133
14,있,129
15,료,126
16,하,120
17,서,119
18,기,118
19,주,117
20,실,110
21,나,101
22,출,92
23,알,87
24,려,86
25,오,85
26,원,77
27,로,76
28,게,75
29,도,73
30,몇,70
31,디,70
32,요,69
33,부,69
34,고,66
35,리,65
36,화,62
37,한,62
38,야,61
39,보,61
40,내,61
41,까,57
42,치,56
43,아,56
44,데,55
45,인,54
46,여,54
47,진,53
48,을,53
49,사,53
50,차,49
51,자,49
52,장,48
53,강,48
54,열,47
55,으,45
56,간,45
57,좀,44
58,면,44
59,대,43
60,금,43
61,호,42
62,선,41
63,문,41
64,니,41
65,관,41
66,과,41
67,안,39
68,르,39
69,직,38
70,정,38
71,영,38
72,래,38
73,겠,38
74,거,38
75,철,37
76,제,37
77,김,37
78,표,36
79,들,36
80,석,35
81,위,34
82,메,34
83,능,34
84,다,32
85,역,31
86,되,31
87,구,31
88,개,31
89,터,30
90,생,30
91,뉴,30
92,줄,29
93,불,29
94,네,29
95,봐,28
96,은,27
97,납,27
98,예,26
99,록,26
100,러,26
101,언,25
102,발,25
103,를,25
104,계,25
105,찾,24
106,전,24
107,와,24
108,비,24
109,밥,24
110,탁,23
111,번,23
112,재,22
113,람,22
114,의,21
115,약,21
116,받,20
117,레,20
118,라,20
119,공,20
120,력,19
121,크,18
122,처,18
123,세,18
124,매,18
125,등,18
126,권,18
127,행,17
128,접,17
129,워,17
130,연,17
131,싶,17
132,술,17
133,소,17
134,류,17
135,떤,17
136,늘,17
137,급,17
138,체,16
139,음,16
140,업,16
141,산,16
142,무,16
143,님,16
144,확,15
145,트,15
146,책,15
147,얼,15
148,앉,15
149,색,15
150,배,15
151,먹,15
152,마,15
153,결,15
154,검,15
155,할,14
156,증,14
157,족,14
158,일,14
159,엘,14
160,신,14
161,상,14
162,뭐,14
163,명,14
164,만,14
165,때,14
166,노,14
167,곳,14
168,좌,13
169,식,13
170,센,13
171,복,13
172,물,13
173,픈,12
174,추,12
175,운,12
176,용,12
177,않,12
178,승,12
179,삼,12
180,띄,12
181,환,11
182,카,11
183,천,11
184,본,11
185,병,11
186,달,11
187,켜,10
188,점,10
189,입,10
190,응,10
191,육,10
192,외,10
193,없,10
194,볼,10
195,베,10
196,릉,10
197,두,10
198,궁,10
199,파,9
200,쳐,9
201,창,9
202,죠,9
203,잡,9
204,잔,9
205,었,9
206,성,9
207,바,9
208,돼,9
209,논,9
210,격,9
211,것,9
212,회,8
213,티,8
214,착,8
215,징,8
216,줬,8
217,작,8
218,월,8
219,뽑,8
220,락,8
221,드,8
222,현,7
223,합,7
224,테,7
225,청,7
226,중,7
227,돈,7
228,넣,7
229,그,7
230,경,7
231,건,7
232,휴,6
233,키,6
234,켓,6
235,층,6
236,찌,6
237,조,6
238,왔,6
239,십,6
240,순,6
241,설,6
242,분,6
243,민,6
244,말,6
245,렴,6
246,럽,6
247,량,6
248,떻,6
249,낚,6
250,교,6
251,후,5
252,황,5
253,적,5
254,온,5
255,애,5
256,암,5
257,셨,5
258,빈,5
259,릴,5
260,련,5
261,랑,5
262,뒷,5
263,덮,5
264,끝,5
265,께,5
266,길,5
267,걸,5
268,갑,5
269,학,4
270,콜,4
271,컨,4
272,커,4
273,쯤,4
274,준,4
275,저,4
276,유,4
277,웃,4
278,우,4
279,액,4
280,쓸,4
281,백,4
282,반,4
283,밀,4
284,미,4
285,목,4
286,맵,4
287,림,4
288,린,4
289,런,4
290,된,4
291,느,4
292,넷,4
293,났,4
294,꿔,4
295,깐,4
296,활,3
297,필,3
298,피,3
299,퇴,3
300,콩,3
301,코,3
302,초,3
303,좋,3
304,울,3
305,양,3
306,쓰,3
307,스,3
308,속,3
309,빌,3
310,북,3
311,땅,3
312,둘,3
313,동,3
314,깃,3
315,히,2
316,프,2
317,퓨,2
318,팝,2
319,킹,2
320,쿠,2
321,콘,2
322,컴,2
323,종,2
324,엠,2
325,쓴,2
326,습,2
327,쉴,2
328,빨,2
329,별,2
330,버,2
331,방,2
332,모,2
333,맞,2
334,른,2
335,루,2
336,딘,2
337,둬,2
338,독,2
339,뇨,2
340,끊,2
341,꽂,2
342,감,2
343,갈,2
344,각,2
345,향,1
346,했,1
347,햄,1
348,품,1
349,포,1
350,페,1
351,팔,1
352,판,1
353,튼,1
354,탑,1
355,타,1
356,킬,1
357,큐,1
358,최,1
359,찼,1
360,찮,1
361,찜,1
362,집,1
363,즈,1
364,잠,1
365,옥,1
366,악,1
367,쇄,1
368,셔,1
369,새,1
370,살,1
371,빼,1
372,빵,1
373,법,1
374,못,1
375,며,1
376,막,1
377,론,1
378,램,1
379,뜨,1
380,떼,1
381,될,1
382,단,1
383,닌,1
384,냅,1
385,낵,1
386,남,1
387,날,1
388,난,1
389,근,1
390,군,1
391,국,1
392,괜,1
393,광,1
394,견,1
395,걀,1
396,같,1
