id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,26791
4,어,2271
5,해,2090
6,가,1985
7,수,1545
8,줘,1544
9,지,1480
10,는,1463
11,이,1330
12,시,1264
13,있,1164
14,에,1158
15,료,1135
16,하,1130
17,기,1122
18,서,1017
19,주,991
20,나,930
21,출,884
22,실,880
23,원,776
24,게,775
25,요,769
26,로,746
27,고,729
28,알,698
29,도,697
30,오,681
31,디,679
32,리,675
33,려,635
34,한,612
35,내,590
36,화,564
37,야,563
38,보,555
39,몇,547
40,데,526
41,여,524
42,부,519
43,까,519
44,진,499
45,치,496
46,강,483
47,을,474
48,장,460
49,인,452
50,사,439
51,래,438
52,열,437
53,과,429
54,면,426
55,은,424
56,자,421
57,아,419
58,차,418
59,표,415
60,안,413
61,으,407
62,금,406
63,영,397
64,니,394
65,좀,393
66,호,392
67,철,389
68,다,376
69,직,370
70,거,370
71,대,367
72,관,358
73,간,357
74,들,350
75,메,340
76,문,328
77,구,327
78,뉴,324
79,발,323
80,르,323
81,겠,314
82,줄,298
83,김,290
84,위,275
85,찾,272
86,와,268
87,정,261
88,의,260
89,개,260
90,예,250
91,번,250
92,록,249
93,능,249
94,싶,248
95,를,248
96,선,244
97,라,236
98,행,233
99,터,230
100,제,228
101,불,227
102,봐,224
103,람,223
104,탁,221
105,트,220
106,되,220
107,비,219
108,계,218
109,석,217
110,무,216
111,네,216
112,러,214
113,납,213
114,매,210
115,레,210
116,약,205
117,책,203
118,역,201
119,생,200
120,워,192
121,등,192
122,체,191
123,접,190
124,전,188
125,권,186
126,밥,183
127,얼,178
128,마,178
129,재,176
130,음,170
131,크,169
132,공,167
133,만,162
134,신,161
135,곳,161
136,삼,155
137,켜,153
138,세,152
139,류,151
140,급,149
141,늘,147
142,운,145
143,떤,144
144,물,143
145,육,141
146,술,141
147,증,138
148,언,136
149,바,136
150,할,134
151,학,133
152,소,133
153,산,128
154,처,127
155,결,127
156,외,126
157,뭐,126
158,명,126
159,님,126
160,복,125
161,상,123
162,업,122
163,병,121
164,점,117
165,않,116
166,드,116
167,족,115
168,받,113
169,먹,112
170,파,110
171,키,109
172,성,108
173,노,107
174,격,107
175,일,106
176,연,106
177,센,105
178,배,105
179,띄,103
180,때,103
181,환,101
182,논,101
183,천,100
184,궁,99
185,픈,97
186,앉,97
187,용,96
188,십,95
189,색,95
190,검,95
191,창,94
192,좌,94
193,합,93
194,두,93
195,달,92
196,베,91
197,길,89
198,없,88
199,엘,87
200,쳐,85
201,테,82
202,력,82
203,확,80
204,돼,79
205,교,79
206,식,77
207,볼,76
208,추,75
209,작,70
210,응,70
211,티,68
212,버,67
213,떻,67
214,습,66
215,걸,66
216,잡,65
217,왔,65
218,회,64
219,뽑,64
220,월,63
221,말,63
222,끝,63
223,건,63
224,청,62
225,우,62
226,찌,61
227,맵,61
228,렴,61
229,랑,61
230,현,60
231,필,60
232,승,59
233,민,58
234,휴,57
235,릴,57
236,줬,56
237,본,56
238,동,56
239,죠,55
240,었,55
241,착,53
242,분,53
243,후,52
244,빈,52
245,켓,51
246,그,51
247,밀,50
248,스,49
249,빌,49
250,미,49
251,량,49
252,콜,48
253,쯤,48
254,애,48
255,린,47
256,경,47
257,햄,46
258,코,46
259,련,46
260,것,46
261,커,45
262,카,45
263,조,45
264,울,45
265,넣,45
266,났,45
267,각,45
268,킹,44
269,쿠,44
270,콩,44
271,쓰,44
272,둘,44
273,꿔,44
274,컨,43
275,쓸,43
276,순,43
277,릉,43
278,땅,43
279,된,43
280,덮,43
281,징,42
282,중,42
283,입,42
284,온,42
285,암,42
286,북,42
287,런,42
288,락,42
289,낚,42
290,께,42
291,깃,42
292,셨,41
293,뒷,41
294,갑,41
295,반,40
296,돈,40
297,당,40
298,럽,39
299,깐,39
300,층,37
301,설,36
302,빨,36
303,림,36
304,잔,35
305,쉴,35
306,저,34
307,근,34
308,방,33
309,적,32
310,루,31
311,남,29
312,타,27
313,갈,27
314,편,26
315,초,26
316,즈,25
317,감,25
318,판,24
319,유,22
320,황,20
321,피,20
322,쓴,20
323,난,20
324,같,20
325,백,19
326,느,19
327,냐,19
328,품,18
329,팝,18
330,킬,18
331,콘,18
332,잠,18
333,뺄,18
334,며,18
335,끊,18
336,활,17
337,했,17
338,찮,17
339,집,17
340,종,17
341,악,17
342,빵,17
343,목,17
344,맞,17
345,딘,17
346,괜,17
347,히,16
348,튼,16
349,웃,16
350,엔,16
351,새,16
352,별,16
353,모,16
354,른,16
355,랍,16
356,떼,16
357,둬,16
358,돌,16
359,꽂,16
360,준,15
361,좋,15
362,엠,15
363,양,15
364,독,15
365,퓨,14
366,컴,14
367,액,14
368,법,14
369,넷,14
370,퇴,12
371,속,12
372,심,11
373,페,7
374,통,7
375,섯,7
376,빼,7
377,객,6
378,절,5
379,령,5
380,됩,5
381,담,5
382,단,5
383,향,4
384,프,4
385,포,4
386,최,4
387,왜,4
388,올,4
389,될,4
390,굿,4
391,형,3
392,팔,3
393,탈,3
394,컬,3
395,죽,3
396,임,3
397,얘,3
398,박,3
399,맛,3
400,립,3
401,닌,3
402,꼭,3
403,긴,3
404,군,3
